,player,comp_group,rvap_raw,n1,icr_raw,n2,wpa_raw,n3,rvap_w,icr_w,wpa_w,rvap_z,icr_z,wpa_z,icr_z_final_initial,icr_percentile_final_initial,rvap_score_percentile,icr_rank_final,icr_z_final,icr_percentile_final,batter,team_bat
11816,prabhsimran singh,Openers,3.7176557550164055,14.0,4497.832730451263,14.0,18.800000000000026,14.0,3.7176557550164055,4497.832730451263,18.800000000000026,-0.2650608714400961,-0.7205621554884832,-0.7829586017246908,-0.6247193833502369,26.607762455493734,50.0,16.0,-0.46031954562649036,25.71428571428571,Prabhsimran Singh,Punjab Kings
12032,axar patel,Middle Order,9.271039867210549,12.0,4615.207525286369,12.0,-33.91000000000001,12.0,9.271039867210549,4615.207525286369,-33.91000000000001,-0.2837777752725279,-0.9256142943732847,-0.5831739332673129,-0.6557177297212218,25.60028795270567,40.0,11.0,-0.46285957392086247,24.285714285714285,Axar Patel,Delhi Capitals
12215,shai hope,Top Order,-19.79813248885158,9.0,4645.761720408422,9.0,-20.33999999999996,9.0,-19.79813248885158,4645.761720408422,-20.33999999999996,-0.4559502610366709,-0.8329499891515868,-0.8215032519208442,-0.7338567470301756,23.151802536457193,33.33333333333333,21.0,-0.4717650516622558,22.857142857142858,Shai Hope,Delhi Capitals
12340,mahipal lomror,Lower Order,-10.77339483016948,10.0,6342.683518769618,10.0,7.549999999999983,10.0,-10.77339483016948,6342.683518769618,7.549999999999983,-0.8425585191958181,-1.01753348828321,-0.19335520472218087,-0.7149639672652817,23.73156543726651,28.57142857142857,6.0,-0.4766426448435211,21.428571428571427,Mahipal Lomror,Royal Challengers Bengaluru
12414,shahbaz ahmed,Middle Order,-53.12659068230105,12.0,4161.625033776542,12.0,5.0699999999999985,12.0,-53.12659068230105,4161.625033776542,5.0699999999999985,-1.1767218262225227,-1.2356194659530388,0.21532256224985652,-0.7660702283844009,22.181725819782947,13.333333333333334,12.0,-0.5407554553301653,20.0,Shahbaz Ahmed,Sunrisers Hyderabad
12587,rinku singh,Middle Order,-40.13513952904123,11.0,4881.36960147565,11.0,-49.579999999999956,11.0,-40.13513952904123,4881.36960147565,-49.579999999999956,-0.9908070900642986,-0.7437033484229071,-0.9041703438561789,-0.8565826215411514,19.583779671646727,26.666666666666668,13.0,-0.5889005523095416,18.571428571428573,Rinku Singh,Kolkata Knight Riders
12704,ishan kishan,Openers,-56.15878787252238,14.0,4694.035119810976,14.0,5.570000000000011,14.0,-56.15878787252238,4694.035119810976,5.570000000000011,-1.009645142185556,-0.5872110201325655,-1.0187717647054535,-0.829450031018828,20.342490050666225,13.636363636363635,19.0,-0.6111737070665048,17.142857142857142,Ishan Kishan,Mumbai Indians
12926,ajinkya rahane,Top Order,-63.758871272050754,12.0,4278.367744719066,12.0,2.1800000000000237,12.0,-63.758871272050754,4278.367744719066,2.1800000000000237,-1.1324742930889633,-1.1339510306982807,-0.307569153834597,-0.8746439357532996,19.088383700016788,11.11111111111111,22.0,-0.6173957193552704,15.714285714285714,Ajinkya Rahane,Chennai Super Kings
13126,deepak hooda,Top Order,-37.8750608131999,9.0,3684.4119231980044,9.0,5.379999999999992,9.0,-37.8750608131999,3684.4119231980044,5.379999999999992,-0.7341411371595775,-1.6205712061519122,-0.23454121804969572,-0.9617195257351597,16.80952557087271,25.925925925925924,24.0,-0.6182482665440313,14.285714285714285,Deepak Hooda,Lucknow Super Giants
13233,cameron green,Top Order,-55.862455303733654,12.0,5219.637047494638,12.0,-58.990000000000066,12.0,-55.862455303733654,5219.637047494638,-58.990000000000066,-1.0109541522197742,-0.3627814981011083,-1.7035437888228657,-0.9470907549039878,17.179626765312094,18.51851851851852,23.0,-0.668534650520462,12.857142857142856,Cameron Green,Royal Challengers Bengaluru
13418,david warner,Openers,-36.237875675721526,8.0,3329.427342092383,8.0,16.689999999999976,8.0,-36.237875675721526,3329.427342092383,16.689999999999976,-0.7619217140389767,-1.5146818683120307,-0.8205675037571489,-1.106493461668994,13.42564962266422,22.727272727272727,20.0,-0.6809190533347657,11.428571428571429,David Warner,Delhi Capitals
13548,krunal pandya,Top Order,-25.99801882744965,11.0,3653.370098213736,11.0,-13.030000000000005,11.0,-25.99801882744965,3653.370098213736,-13.030000000000005,-0.5513620357281664,-1.6460033641894607,-0.6546800611122098,-1.0580795926817275,14.50095786606308,29.629629629629626,25.0,-0.7274297199686877,10.0,Krunal Pandya,Lucknow Super Giants
13660,aiden markram,Top Order,-77.37821515648875,11.0,4296.03954302756,11.0,-33.65,11.0,-77.37821515648875,4296.03954302756,-33.65,-1.342066162871826,-1.1194727592816651,-1.1252538223261717,-1.177674487945118,11.946320071698462,7.4074074074074066,26.0,-0.8096512104622686,8.571428571428571,Aiden Markram,Sunrisers Hyderabad
13847,abdul samad,Lower Order,-0.29933046855969003,12.0,6092.075342719904,12.0,-28.44999999999998,12.0,-0.29933046855969003,6107.111833282887,-26.91459999999998,-0.6329797160398913,-1.4359199347176765,-1.3034940577442686,-1.1910149712009699,11.682385381915806,42.857142857142854,7.0,-0.8407164502595083,7.142857142857142,Abdul Samad,Sunrisers Hyderabad
13960,dhruv jurel,Middle Order,-92.43119594971142,11.0,4757.47477078786,11.0,-75.04000000000002,11.0,-86.92855121227397,4757.47477078786,-75.04000000000002,-1.6604462769728743,-0.8283804225254926,-1.4257126931601085,-1.2263345504510088,11.003640228767503,6.666666666666667,14.0,-0.8431050034350686,5.714285714285714,Dhruv Jurel,Rajasthan Royals
14104,jitesh sharma,Middle Order,-51.5517502669336,12.0,3797.027815060987,12.0,-80.19000000000003,12.0,-51.5517502669336,3848.071425681165,-79.46900000000002,-1.1541850028253242,-1.4499205950673946,-1.5164397577738988,-1.3958435826807747,8.138080144632687,20.0,15.0,-0.985301352480547,4.285714285714286,Jitesh Sharma,Punjab Kings
14251,quinton de kock,Openers,-77.97570559093528,11.0,3172.495397267208,11.0,-19.660000000000004,11.0,-77.97570559093528,3172.495397267208,-18.532299999999996,-1.2809460542825941,-1.6213424094213553,-1.4483741530736494,-1.480911945797255,6.9315019667013615,9.090909090909092,21.0,-1.0181269627356129,2.857142857142857,Quinton De Kock,Lucknow Super Giants
14445,wriddhiman saha,Openers,-110.92418994845713,9.0,2717.1168548426117,9.0,-10.900000000000006,9.0,-104.00500823337754,2812.746348751777,-10.900000000000006,-1.6046294287761635,-1.8658498500254117,-1.312335090048852,-1.6262393851829469,5.194937037512071,4.545454545454546,22.0,-1.045439604760466,1.4285714285714286,Wriddhiman Saha,Gujarat Titans
14565,hardik pandya,Top Order,-125.19720697456323,13.0,3445.1679813558676,13.0,-59.30999999999998,13.0,-112.76426910186386,3499.3005317389134,-59.226800000000004,-1.886631985835071,-1.7722305291628486,-1.708947856070947,-1.7813836606176827,3.742489782708194,3.7037037037037033,27.0,-1.2865548660016597,0.0,Hardik Pandya,Mumbai Indians
